Future,Close
30095,34060.00
34060,35468.00
35468,36009.00
36009,36544.00
36544,39688.00
39688,37718.00
37718,38514.00
38514,38461.00
38461,37650.00
37650,38581.00
38581,39748.00
39748,39243.00
39243,38113.00
38113,40427.00
40427,39464.00
39464,39418.00
39418,39709.00
39709,40482.00
40482,41368.00
41368,41503.00
41503,40803.00
40803,39703.00
39703,40382.00
40382,40560.00
40560,39936.00
39936,41133.00
41133,40078.00
40078,39497.00
39497,42138.00
42138,42767.00
42767,42275.00
42275,43448.00
43448,43173.00
43173,45506.00
45506,46629.00
46629,46407.00
46407,45811.00
45811,46297.00
46297,45525.00
45525,47075.00
47075,47449.00
47449,47105.00
47105,46859.00
46859,44548.00
44548,44331.00
44331,44013.00
44013,42912.00
42912,42373.00
42373,41022.00
41022,41276.00
41276,42233.00
42233,41767.80
41767.8,40914.80
40914.8,41118.70
41118.7,39285.70
39285.7,39671.10
39671.1,37792.40
37792.4,38814.30
38814.3,38730.20
38730.2,39416.30
39416.3,41929.00
41929,38744.80
38744.8,38024.80
38024.8,38403.10
38403.1,39395.80
39395.8,39142.70
39142.7,42463.00
42463,43912.80
43912.8,44420.30
44420.3,43188.20
43188.2,37689.10
37689.1,39115.50
39115.5,39209.60
39209.6,38339.20
38339.2,37224.60
37224.6,38248.20
38248.2,37017.70
37017.7,38355.00
38355,40090.30
40090.3,40000.10
40000.1,40552.80
40552.8,43883.60
43883.6,44544.40
44544.4,42550.30
42550.3,42061.10
42061.1,42205.20
42205.2,42388.40
42388.4,43521.00
43521,44388.90
44388.9,44038.20
44038.2,43833.90
43833.9,42392.20
42392.2,41412.10
41412.1,41567.60
41567.6,37287.80
37287.8,36890.20
36890.2,38709.70
38709.7,38498.60
38498.6,37917.70
37917.7,38170.80
38170.8,37745.10
37745.1,37164.30
37164.3,36800.40
36800.4,36950.60
36950.6,36686.30
36686.3,36269.50
36269.5,35075.20
35075.2,36475.50
36475.5,40715.90
40715.9,41677.80
41677.8,42364.60
42364.6,42209.30
42209.3,43079.10
43079.1,43097.00
43097,43073.30
43073.3,42560.00
42560,43901.00
43901,42733.20
42733.2,41832.20
41832.2,41848.30
41848.3,41672.00
41672,41546.70
41546.7,43097.50
43097.5,43425.90
43425.9,45837.30
45837.3,46430.20
46430.2,47311.80
47311.8,47738.00
47738,46219.50
46219.5,47123.30
47123.3,46461.70
46461.7,47545.20
47545.2,50678.20
50678.2,50779.90
50779.9,50406.40
50406.4,50786.10
50786.1,50801.00
50801,48599.70
48599.7,48902.00
48902,46895.20
46895.2,46704.50
46704.5,46856.20
46856.2,46172.20
46172.2,47628.20
47628.2,48871.50
48871.5,48366.50
48366.5,46703.60
46703.6,50081.00
50081,49314.50
49314.5,47137.20
47137.2,47596.60
47596.6,50473.90
50473.9,50595.20
50595.2,50562.10
50562.1,49405.50
49405.5,49195.20
49195.2,53631.50
53631.5,56496.00
56496,57210.30
57210.3,56882.90
56882.9,57794.80
57794.8,57291.50
57291.5,54765.90
54765.9,53730.90
53730.9,58935.10
58935.1,57171.70
57171.7,57573.20
57573.2,56308.80
56308.8,58714.30
58714.3,59717.60
59717.6,58083.40
58083.4,56955.30
56955.3,60367.80
60367.8,60089.10
60089.1,63597.90
63597.9,65508.20
65508.2,64398.60
64398.6,64134.50
64134.5,64806.70
64806.7,64932.60
64932.6,66904.40
66904.4,67527.90
67527.9,63273.20
63273.2,61483.90
61483.9,60974.30
60974.3,61412.60
61412.6,62918.50
62918.5,63221.70
63221.7,60915.30
60915.3,61309.60
61309.6,61840.10
61840.1,62242.80
62242.8,60582.50
60582.5,58438.10
58438.1,60310.80
60310.8,63067.00
63067,60866.50
60866.5,61312.50
61312.5,60690.30
60690.3,62210.20
62210.2,65979.10
65979.1,64278.50
64278.5,62056.30
62056.3,61527.50
61527.5,60861.10
60861.1,61672.50
61672.5,57345.80
57345.8,57380.10
57380.1,56015.90
56015.9,57477.30
57477.3,54687.70
54687.7,54942.50
54942.5,53914.70
53914.7,53783.90
53783.9,55323.20
55323.2,51469.30
51469.3,49227.30
