Open,High,Low,Vol,Change,PriceTomorow
"44,540.90","44,552.90","43,377.60",41401,-0.0148,"40,552.80"
"42,550.30","44,722.60","42,460.10",56341,0.0469,"43,883.60"
"42,061.10","42,799.70","41,591.30",53601,0.0116,"44,544.40"
"42,205.50","42,725.10","41,880.10",25881,-0.0034,"42,550.30"
"42,388.40","43,006.40","41,776.80",37881,-0.0043,"42,061.10"
"43,519.30","43,915.10","42,023.40",69951,-0.026,"42,205.20"
"44,388.90","45,755.20","43,242.50",89691,-0.0196,"42,388.40"
"44,038.20","44,800.40","43,163.00",50921,0.008,"43,521.00"
"43,833.90","45,399.80","42,705.00",92881,0.0047,"44,388.90"
"42,385.20","44,468.30","41,695.40",76601,0.034,"44,038.20"
"41,411.90","42,614.80","41,176.30",31201,0.0237,"43,833.90"
"41,566.50","41,899.80","40,963.30",46321,-0.0037,"42,392.20"
"37,287.80","41,689.00","37,041.10",95491,0.1148,"41,412.10"
"36,890.20","37,304.30","36,297.30",50351,0.0108,"41,567.60"
"38,711.20","38,853.80","36,682.30",53741,-0.047,"37,287.80"
"38,475.60","39,230.00","38,037.90",55201,0.0055,"36,890.20"
"37,923.80","38,701.40","36,672.80",61271,0.0153,"38,709.70"
"38,167.50","38,313.30","37,390.60",34101,-0.0066,"38,498.60"
"37,736.50","38,663.70","37,350.20",42771,0.0113,"37,917.70"
"37,195.60","37,995.90","36,176.50",69451,0.0156,"38,170.80"
"36,800.10","37,215.40","35,543.20",83521,0.0099,"37,745.10"
"36,962.30","38,862.60","36,280.00",107871,-0.0041,"37,164.30"
"36,691.30","37,501.80","35,729.30",79681,0.0072,"36,800.40"
"36,268.60","37,424.00","32,985.60",153771,0.0115,"36,950.60"
"35,072.90","36,513.00","34,655.20",70431,0.034,"36,686.30"
"36,467.70","36,749.80","34,116.00",138091,-0.0384,"36,269.50"
"40,698.10","41,104.60","35,503.90",155801,-0.1041,"35,075.20"
"41,683.60","43,487.10","40,568.30",65281,-0.0231,"36,475.50"
"42,365.30","42,558.00","41,160.90",53771,-0.0162,"40,715.90"
"42,209.90","42,674.20","41,300.70",47321,0.0037,"41,677.80"
"43,080.50","43,179.60","41,559.40",41441,-0.0202,"42,364.60"
"43,079.20","43,462.00","42,643.30",28661,-0.0004,"42,209.30"
"43,073.60","43,777.90","42,586.10",31441,0.0006,"43,079.10"
"42,562.20","43,435.10","41,848.70",50501,0.0121,"43,097.00"
"43,900.00","44,404.70","42,337.50",53421,-0.0305,"43,073.30"
"42,735.00","44,243.60","42,476.70",53951,0.0273,"42,560.00"
