PM10,1O2,CO,O3,NO2,OutputY
40.03,27.95,0.15,71.23,10.64,1
85.86,28.70,0.36,79.22,13.48,1
156.58,29.03,0.60,91.28,12.81,1
75.22,29.55,0.20,77.51,11.01,1
126.48,33.20,0.51,87.35,13.28,1
248.48,33.24,1.00,97.29,14.21,0
155.36,31.57,0.61,64.67,14.10,0
193.95,30.36,0.76,20.42,13.99,0
80.97,30.76,0.45,14.35,14.14,1
24.64,29.33,0.12,0.41,11.48,1
45.86,28.40,0.29,8.32,10.81,1
60.94,30.83,0.22,27.29,12.53,1
140.69,47.06,0.51,29.06,12.43,1
151.14,30.64,0.83,30.88,11.47,0
86.66,29.85,0.61,29.70,10.86,1
108.38,30.21,0.73,35.28,12.58,1
78.81,29.17,0.47,35.54,13.30,1
93.58,28.71,0.55,35.39,11.26,
100.54,27.64,0.55,37.92,12.06,1
58.16,28.73,0.65,21.89,10.59,1
74.04,30.05,0.58,32.86,12.23,1
85.94,29.57,0.55,29.33,12.25,1
82.25,30.29,0.53,34.18,11.91,1
42.29,29.12,0.45,22.05,9.71,1
75.08,30.47,,42.08,13.36,
121.75,28.24,,29.79,13.42,1
114.43,29.01,,27.41,14.79,1
160.45,31.36,0.96,40.71,14.86,0
164.60,31.08,0.77,35.73,14.90,0
358.49,31.17,1.40,31.42,14.35,0
184.23,31.32,0.83,30.55,15.81,0
93.49,30.23,0.63,46.77,14.37,1
55.48,31.11,0.61,30.57,13.00,1
30.47,29.08,0.47,27.15,11.72,1
37.78,29.92,0.37,42.80,10.42,1
42.21,29.58,0.51,30.11,11.84,1
33.59,28.50,0.50,28.78,11.26,1
37.26,28.42,0.50,29.62,11.13,1
37.12,28.51,0.57,34.67,12.06,1
17.82,27.94,0.45,30.49,11.81,1
63.04,27.28,0.42,35.24,11.41,1
35.13,28.44,0.53,31.75,11.54,1
29.37,28.39,0.36,37.27,11.35,1
35.89,27.71,0.35,45.05,12.67,0
23.95,27.39,0.30,30.13,10.50,1
21.14,28.12,0.40,16.10,12.57,1
28.25,29.27,0.47,31.73,12.08,1
37.06,31.08,0.47,28.77,11.32,1
22.09,31.40,0.32,30.34,11.96,1
33.20,29.26,0.48,37.45,13.05,1
23.32,31.27,0.49,27.64,12.55,1
43.13,30.82,0.41,34.28,13.54,1
88.13,31.31,0.69,40.60,14.11,1
106.49,31.57,0.61,46.90,13.98,1
61.63,30.33,0.55,39.49,13.07,1
25.53,28.60,0.41,37.64,11.06,1
19.97,28.82,0.30,28.24,9.96,1
6.46,27.15,0.23,24.48,8.78,1
6.20,26.69,0.22,21.91,9.03,1
22.33,27.06,0.29,24.59,8.50,1
21.54,28.67,0.21,35.00,10.21,1
29.51,25.96,0.35,22.32,14.03,1
14.57,26.92,0.31,34.49,10.77,1
10.08,29.24,0.33,30.58,9.17,1
2.85,28.51,0.10,23.19,10.10,1
4.53,28.76,0.32,26.52,9.68,1
10.83,30.39,0.33,19.44,9.69,1
12.57,30.36,0.28,18.14,10.65,1
13.07,30.68,0.34,22.22,11.24,1
20.51,30.76,0.31,24.41,13.24,1
11.92,29.97,0.21,21.85,11.89,1
17.18,29.69,0.19,23.09,11.51,1
11.25,30.01,0.40,17.42,10.96,1
55.21,30.67,0.24,22.65,13.69,1
6.04,29.23,0.32,11.20,7.72,1
16.62,31.41,0.35,10.79,9.23,1
17.91,31.30,0.36,13.47,9.88,1
12.32,30.18,0.36,16.59,11.75,1
21.67,30.12,0.35,17.19,11.30,1
5.56,30.01,0.33,14.30,7.37,1
24.15,32.53,0.52,14.20,8.41,1
14.14,32.33,0.30,12.34,7.92,1
26.04,30.73,0.31,25.58,11.11,1
